,tenant_level_code,student_num_code,techer_num_code,student_rate_code,techer_rate_code,nofree_course_num_code,free_course_num_code,nofree_course_rate_code,free_course_rate_code,nofreecourseNum_Same2Tenant,teachplan_num_code,teachplan_type_num_code,teachact_num_code,teachact_type_num_code,openingtime_code,region_code,prvn_code,teacher_num_code,teacher_rate_code,teachActSim,virtualLabel,type
3550783797536822528,6675,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,7290,420000,1,0,100,0,train
3561540188759671552,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,320000,1,0,100,0,train
3545222027974709760,6675,1,0,0,0,2,1,0,0,2,1,1,35,6,2022,7268,330000,5,0,61,0,train
3547805409416833536,9075,0,0,0,0,3,0,0,0,3,1,1,35,6,2022,7278,440000,2,0,38,0,train
3559701098706662656,9090,0,0,0,0,4,0,0,0,4,0,0,0,0,2022,7278,440000,1,0,16,0,train
3554264583263233024,6675,3,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,420000,1,0,11,0,train
3572511964230713856,6675,0,0,0,0,2,0,0,0,2,1,1,3,2,2022,8866,640000,1,0,33,0,train
3572460990064985344,9090,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,6866,220000,1,0,100,0,train
3567864809333756160,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,410000,1,0,100,0,train
3550796755800907776,9090,0,0,0,0,2,0,0,0,1,0,0,0,0,2022,7278,440000,2,0,24,0,train
3525918847206848768,6675,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7266,130000,0,0,100,0,train
3556933231570810880,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,350000,1,0,100,0,train
3576906409681516544,6675,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,7278,440000,1,0,100,0,train
3545577533158172928,9075,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,7268,330000,1,0,100,0,train
3554266829528995840,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,430000,3,0,100,0,train
3549493800161293568,9090,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,330000,1,0,11,0,train
3570661377293361152,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,410000,1,0,19,0,train
3567855059758435584,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7290,410000,1,0,100,0,train
3550554317433001216,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7266,150000,1,0,100,0,train
3544255369835534080,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,6866,230000,1,0,100,0,train
3567863535874755584,6675,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,7268,360000,1,0,100,0,train
3569338684132106752,6675,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7290,420000,0,0,100,0,train
3564140709760119808,6675,0,0,0,0,3,0,0,0,3,0,0,0,0,2022,8878,500000,1,0,19,0,train
3574315208399490560,9075,0,0,0,0,2,0,0,0,2,0,0,0,0,2022,8866,650000,1,0,100,0,train
3538858939056192768,9075,0,0,0,0,4,0,0,0,4,0,0,0,0,2022,7268,350000,0,0,9,0,train
3544621600137897728,9075,0,0,0,0,3,1,0,0,3,0,0,0,0,2022,7290,410000,2,0,11,0,train
